timestamp,S1_CH1_T_273901_0001,S2_CH1_T_273902_0001,S3_CH1_T_273904_0002,S4_CH2_T_273901_0002,S5_CH2_T_273902_0003,S6_CH2_T_273904_0003,S9_CH4_T_240351_0001,S10_CH4_T_273903_0001,S11_CH4_T_273904_0001,S1_CH1_LG_273901_0001,S2_CH1_LG_273902_0001,S3_CH1_LG_273904_0002,S4_CH2_LG_273901_0002,S5_CH2_LG_273902_0003,S6_CH2_LG_273904_0003,S9_CH4_LG_240351_0001,S10_CH4_LG_273903_0001,S11_CH4_LG_273904_0001,S7_CH3_CL_242474_0001,S8_CH3_CL_227745_0002,Nivel_RS485_m
2026-03-27 13:45:47.625100+01:00,15.2500,20.6600,18.7100,18.5900,18.8500,20.4500,19.1800,19.9000,19.2300,0.9900,-4.0100,4.1500,-0.4700,1.2700,1.3400,1.0800,0.0500,0.2500,-5.2500,-0.9300,2.4460
2026-03-27 14:01:01.267100+01:00,15.1700,20.5900,18.6000,18.3900,18.7000,20.3300,19.0600,19.7700,19.0800,0.7600,5.1300,3.1100,7.1000,7.2100,5.6200,6.3800,5.0100,6.2100,-5.2600,-0.9300,2.4330
2026-03-27 15:01:11.271000+01:00,15.2600,20.7900,18.9200,18.8800,19.0400,20.6600,19.3900,20.1200,19.5000,-1.9300,1.6100,-5.3500,-3.5100,-0.5400,-1.2800,-0.6500,-3.0700,-1.7800,-5.2600,-0.9400,2.4380
2026-03-27 16:01:27.704200+01:00,15.2900,20.9100,19.1000,19.0100,19.2200,20.7400,19.5300,20.2100,19.6200,-4.2000,-5.4000,-4.8800,-6.6600,-5.1400,-1.2700,-7.5000,-5.4200,-3.1100,-5.2500,-0.9500,2.4550
2026-03-27 17:01:38.008200+01:00,14.8200,20.3600,18.4200,18.3400,18.5000,20.2600,18.9200,19.6700,18.9800,1.6500,11.2400,4.4100,2.1000,3.8000,1.1000,2.3700,-0.2000,1.7300,-5.2500,-0.9400,2.4490
2026-03-27 18:01:46.020400+01:00,15.4000,20.7800,18.9600,18.8200,19.0900,20.5700,19.3900,20.0500,19.4600,-1.6400,4.1200,-4.9000,4.6900,4.5800,6.5100,3.4300,2.0400,5.2600,-5.2600,-0.9400,2.4500
2026-03-27 19:02:01.018500+01:00,14.9600,20.8400,18.8300,18.7800,18.9700,20.5400,19.3500,20.0100,19.4100,-0.0200,-5.8600,-2.5800,-2.0800,-0.0700,0.9100,-0.9600,-1.9600,0.1400,-5.2600,-0.9500,2.4470
2026-03-27 20:02:01.262500+01:00,15.1900,20.4900,18.5800,18.4900,18.6900,20.3700,19.0800,19.8000,19.1600,-3.1700,-0.6700,-0.1000,3.5900,3.3100,2.3000,2.8300,0.1400,2.9100,-5.2500,-0.9400,2.4450
2026-03-27 21:02:11.261600+01:00,14.8000,20.2700,18.2300,18.0800,18.2900,20.0700,18.7300,19.4400,18.7600,0.5900,13.1200,1.8300,2.0800,2.0500,3.1900,0.6800,0.2200,0.5100,-5.2500,-0.9400,2.4560
2026-03-27 22:02:27.262700+01:00,14.6100,20.1400,18.0400,17.9300,18.1100,19.9100,18.5700,19.2900,18.5900,3.8500,6.1300,0.3800,5.2300,7.6400,5.9300,1.7500,3.9900,5.3800,-5.2500,-0.9500,2.4520
2026-03-27 23:02:47.258500+01:00,14.7300,20.0800,18.0300,17.8600,18.1100,19.9200,18.5000,19.2900,18.5900,-3.2700,-1.9500,-1.3600,5.0400,6.2900,0.5400,3.2200,2.4500,2.8900,-5.2600,-0.9600,2.4630
